Contenu_,Date_,Utilisateur_,Source_,ID_,Tweet URL
"Lesbians, man.

https://t.co/3A86nx0FAA",2020-12-07 21:02:55,Civil_Beaver,Twitter for Android,1336053598992674817,https://twitter.com/statuses/1336053598992674817
"Actualités - AR - Après deux nouveaux crimes, ils réclament l'arrestation définitive de Rubén Mülhgerber - https://t.co/1M1jwVFJTX https://t.co/n6H642oTwK",2020-12-07 21:02:36,ebenesport,ebenesport autopublish,1336053521184157696,https://twitter.com/statuses/1336053521184157696
"Le président Tebboune serait en Algérie ce soir ou demain (média) - il aurait reçu une visite de courtoisie de la part de la chancelière allemande 
https://t.co/C5Jw3V4g7d",2020-12-07 21:02:29,Dmounir6,Twitter for Android,1336053488632131585,https://twitter.com/statuses/1336053488632131585
Actualités - AR - La Suède et la Grèce dans le groupe espagnol de qualification pour le Qatar-2022 - RFI - https://t.co/4vsdASfhTl https://t.co/4jjpaNgnMk,2020-12-07 21:02:27,ebenesport,ebenesport autopublish,1336053483703775233,https://twitter.com/statuses/1336053483703775233
@Workyz_ Comment ça pour lutter contre les fake news ?,2020-12-07 21:02:24,blmawo,Twitter for Android,1336053470609149952,https://twitter.com/statuses/1336053470609149952
#Kamlooops - City propose Agricultural Engagement Group  https://t.co/hVSzsh4Tfp #,2020-12-07 21:02:18,BCHeadlines,Twitter Web App,1336053445954920448,https://twitter.com/statuses/1336053445954920448
Mario Balotelli joins Serie B side Monza https://t.co/WW79HhMqr4  #Nigeria #NigeriaNews https://t.co/Eqa0osMJWz,2020-12-07 21:01:36,NigNewspapers,NigNewspapers,1336053266912849921,https://twitter.com/statuses/1336053266912849921
"Demain, tous fichés ? Cinq questions sur des décrets polémiques https://t.co/sSby4WjF6Q",2020-12-07 21:01:05,Verhaeghe,Twitter for Android,1336053138546102277,https://twitter.com/statuses/1336053138546102277
Duel électrique https://t.co/v0gqsTuNFT https://t.co/1qvmcsLthg,2020-12-07 21:01:02,MotoNewsFr,dlvr.it,1336053125598248960,https://twitter.com/statuses/1336053125598248960
Nous ne les oublierons jamais! https://t.co/SZWmAvVoUi,2020-12-07 21:00:59,eherskovits,Twitter for iPhone,1336053114072412161,https://twitter.com/statuses/1336053114072412161
Remboursement des voyages annulés : Vol en retard parlera demain au nom des consommateurs https://t.co/N4HTYMFNjP,2020-12-07 21:00:57,PatWhite70,Twitter Web App,1336053103406280710,https://twitter.com/statuses/1336053103406280710
"#Centrafrique - RCA : le chef rebelle Abdoulaye Hissen, patron du CNDS,  est aperçu depuis plusieurs semaines à l’hôtel Ledger Plazza à Bangui https://t.co/AF411Y97Ia via @Corbeau News Centrafrique ou si b il LPP",2020-12-07 21:00:56,lesamisdesiloe,Twitter Web App,1336053100491190278,https://twitter.com/statuses/1336053100491190278
"Destiny 2, optimisé pour Xbox Series X|S. C'est dès demain ! https://t.co/vRxErCkLkw https://t.co/78NNmrgsP7",2020-12-07 21:00:36,XboxGamePassFR,Twitter Web App,1336053014973583363,https://twitter.com/statuses/1336053014973583363
Le Mans : un prêtre jugé pour des agressions sexuelles sur mineures https://t.co/H39fVi84Lv,2020-12-07 21:00:32,Vibrationradio,dlvr.it,1336052998233997313,https://twitter.com/statuses/1336052998233997313
Le Plus Beau Cadeau : pour passer le plus beau Noël ! https://t.co/RRQOeL47Wy,2020-12-07 21:00:32,voltageofficiel,dlvr.it,1336052998196236288,https://twitter.com/statuses/1336052998196236288
"Mansour Faye sur les tarifs du péage: « Kou menoul jaar ci autoroute nga dieul nationale »
#Senegal #seneweb 
https://t.co/ATe37Fkn9h",2020-12-07 21:00:31,seneweb,Twitter for iPhone,1336052996468248577,https://twitter.com/statuses/1336052996468248577
@dniaadz « Fakes news » et toi même tu sais que j’ai absolument aucune haine envers les algériens https://t.co/NDV86M48Re,2020-12-07 21:00:30,OT_Nawfel,Twitter for iPhone,1336052993611927552,https://twitter.com/statuses/1336052993611927552
"News - GB - UEFA Champions League: Match nul, une défaite peut faire mais le PSG vise à battre Istanbul Basaksehir - https://t.co/yE6cltmfLQ https://t.co/BuYEFoQAtO",2020-12-07 21:00:25,ebenesport,ebenesport autopublish,1336052969004015619,https://twitter.com/statuses/1336052969004015619
"American Gods Saison 3 : Les Dieux sont en conflits, en janvier sur Starz et dès maintenant dans un nouveau trailer https://t.co/Suv1z7rOMS",2020-12-07 21:00:08,Critictoo,Revive Social App,1336052900070641664,https://twitter.com/statuses/1336052900070641664
"Actualité : Algérie-Allemagne : Lancement du projet de coopération ""communes vertes"" - 
https://t.co/rpexg1kEun",2020-12-07 21:00:02,Dmounir6,Twitter for Android,1336052873612976128,https://twitter.com/statuses/1336052873612976128
"Breaking news, après s'être autoproclamée représentante des Gilets Jaunes, Jacline Mouraud, 53 ans va maintenant essayer d'obtenir ses 500 signatures. Comme ces 500 maires sont souvent des personnes ordinaires, il y a de très grandes chances qu'ils s'en battent les couilles. https://t.co/JxybV2JiUP https://t.co/4BlBFDMS1w",2020-12-07 21:00:01,jeconfine,Twitter for Android,1336052870026842112,https://twitter.com/statuses/1336052870026842112
"""En cours de diffusion sur @Wakanim, la série de Looseboy et d'Iori Furuya ne manque pas de ressources ni de petites surprises pour continuer à intriguer !"" 
https://t.co/LBYLNFkniI",2020-12-07 21:00:01,manga_news,Twitter Web App,1336052869485694977,https://twitter.com/statuses/1336052869485694977
"""En exploitant de manière efficace un concept rarement vu dans les hentai parus en France, Okawari offre un excellent représentant du genre, porté par des héroïnes pleines de charme"" @hotmanga_com 
https://t.co/uBVsMNfDpf https://t.co/1nCi2JgSce",2020-12-07 21:00:00,manga_news_nsfw,Twitter Web App,1336052867115999233,https://twitter.com/statuses/1336052867115999233
@News_PN_GD Si tu as connu la 305 tu as un nigend dans les 100.,2020-12-07 20:59:54,LemeilleurL,Twitter for Android,1336052840591192065,https://twitter.com/statuses/1336052840591192065
Caméra Café : Bruno Solo annonce le grand retour de la série culte https://t.co/nroQR2qB4k https://t.co/QqRHdnSthv,2020-12-07 20:59:49,voici,Echobox,1336052820970250240,https://twitter.com/statuses/1336052820970250240
"Macrodyne's Information on Hydroforming
#hydraulic #press
https://t.co/PBT6mymAOa https://t.co/25uxlYWWml",2020-12-07 20:59:43,IQSDirectory,Hootsuite Inc.,1336052796324536322,https://twitter.com/statuses/1336052796324536322
"Au top, le suivi environnement chez @heidi_news ! https://t.co/zQooLoGPmz",2020-12-07 20:59:26,Camille_Andres,Twitter for iPhone,1336052722563428356,https://twitter.com/statuses/1336052722563428356
Actualités - ÉTATS-UNIS - REGARDER: Trump prend du temps lors de la cérémonie de médaille de la liberté Dan Gable pour insister sur le fait qu'il est `` Two and O '' - https://t.co/A67OOUoewP https://t.co/Eg3A5ttHRI,2020-12-07 20:59:24,ebenesport,ebenesport autopublish,1336052714015436803,https://twitter.com/statuses/1336052714015436803
Un ancien de JPL élu meilleur joueur de la saison en MLS #pozuelo #mls https://t.co/wlHABq0X2n https://t.co/jSPx44PX8T,2020-12-07 20:59:02,footnewsbe,Footnewsbe,1336052622340583428,https://twitter.com/statuses/1336052622340583428
"Surprise ! Margaux et Coralie, les grandes Maestros de N'oubliez pas les paroles, dévoilent leur 1er single en duo https://t.co/UhrMbUzXAZ https://t.co/aw0H6UPDfm",2020-12-07 20:58:46,TeleLoisirs,Echobox,1336052557224038406,https://twitter.com/statuses/1336052557224038406
"BREAKING NEWS 
Une ancienne GJ se voit en heritiere de Giscard et se lance dans la course des presidentielles. 
J'ai hâte de voir un débat entre Jacline Mouraud et Afida Turner sur la politique étrangère de la France. https://t.co/B3SdboCjaN",2020-12-07 20:58:44,zirikolatz,Twitter Web App,1336052545899409408,https://twitter.com/statuses/1336052545899409408
"Le séjour de Pjanic en Catalogne ne se passe pas comme prévu : ""Je ne comprends pas cette situation"" https://t.co/ay0lTu25I5 #juventus",2020-12-07 20:58:43,walfoot,Walfoot,1336052542824964097,https://twitter.com/statuses/1336052542824964097
Actualités - FR - Toulouse Stade Toulousain offre Bayonne avant de revenir en Ulster pour l'Europe - https://t.co/B7jtnkMxJ2 https://t.co/3UEffzPSWH,2020-12-07 20:58:35,ebenesport,ebenesport autopublish,1336052507693510657,https://twitter.com/statuses/1336052507693510657
"Une rencontre républicaine loin des micros et des conseillers !
Keba na fake news !
Lobi, c'est un autre jour, un jour où la République viendra avant tout intérêt individuel !
Merci à vous notre Pepe national #Ilunkamba
@PrimatureRDC 
#LePeupleGagneToujours ! https://t.co/rYubHoy8Va",2020-12-07 20:58:30,elogemwandwe,Twitter for Android,1336052488751951876,https://twitter.com/statuses/1336052488751951876
News - FR - Coupe du monde 2022: les Red Devils connaissent leurs adversaires - https://t.co/GL4VqlqyNO https://t.co/8n5412HS72,2020-12-07 20:58:21,ebenesport,ebenesport autopublish,1336052448696414210,https://twitter.com/statuses/1336052448696414210
"Abidjan, 07 déc 2020 (AIP)- L'Union économique et monétaire ouest africaine (UEMOA) est passée d'un taux de 47% en 2011 à 74% en 2019, soit un bond https://t.co/fzZR4MTfIz",2020-12-07 20:58:08,h24news_ci,Nonli,1336052395890139143,https://twitter.com/statuses/1336052395890139143
"Et encore deux juges qui rejettent les recours de #Trump-la-loose. Arguments débiles, preuves inexistantes, tchatche fétide, leurs jugements sont des condamnations des comploteurs imbéciles autour du mauvais perdant
 https://t.co/UmZSa6XDbo",2020-12-07 20:57:37,FrancoisDAssisi,Twitter Web App,1336052266109956098,https://twitter.com/statuses/1336052266109956098
Project Athia sera une exclusivité console Playstation 5 pour 24 mois https://t.co/uzN2a0pmM2,2020-12-07 20:57:36,predator64tina,Twitter Web App,1336052262918033408,https://twitter.com/statuses/1336052262918033408
"Invitational Trials among changes to 2021 calendar
https://t.co/WoYDW5gOsM
-
Des Essais sur invitation parmi les changements apportés au calendrier de 2021
https://t.co/FszwWGsMZR https://t.co/P9ZhdCPqdl",2020-12-07 20:57:34,SwimmingCanada,Twitter Web App,1336052254722449411,https://twitter.com/statuses/1336052254722449411
"Ukraine - Chevtchenko : ""Nous connaissons la puissance de la France""
https://t.co/tv9EO4Ta3y",2020-12-07 20:57:29,TripleA2021,Zapier.com,1336052233918701569,https://twitter.com/statuses/1336052233918701569
Economic management https://t.co/KtynV8Esoa,2020-12-07 20:57:21,alichishti06,Twitter Web App,1336052198090924032,https://twitter.com/statuses/1336052198090924032
"EXCLU. Un Français ""craque"" une écriture non déchiffrée de plus de 4000 ans, remettant ... https://t.co/yXSo05XxV9 via @Yahoo",2020-12-07 20:57:17,multioffset,Twitter Web App,1336052181313724424,https://twitter.com/statuses/1336052181313724424
"L'Armée algérienne se dit prête à faire face à une menace marocaine -
https://t.co/foBzImbzbA",2020-12-07 20:57:04,Dmounir6,Twitter for Android,1336052126020231172,https://twitter.com/statuses/1336052126020231172
@OT_Nawfel Mais je te dis que c’est fake news zinc et juste la façon dont tu parles montre que t’as une haine en toi envers l’Algerie,2020-12-07 20:56:48,dniaadz,Twitter for iPhone,1336052061163704328,https://twitter.com/statuses/1336052061163704328
"Où est passé le Président des États-Unis avec sa Masquarade de président de la loi et l'ordre???

Armed pro-Trump protesters gather outside Michigan elections chief's home https://t.co/xTLd7dHnYh",2020-12-07 20:56:45,John_A_Phillips,Twitter for Android,1336052046324264978,https://twitter.com/statuses/1336052046324264978
Alexander McQueen dévoile l'homme printemps-été 2021 devant les falaises de Douvres https://t.co/LGAsigYhOY,2020-12-07 20:55:30,LucieGuillemot,Buzzagain,1336051734813302786,https://twitter.com/statuses/1336051734813302786
"À intervalles réguliers, GMD vous sert le meilleur du rap (en) français. Le pire aussi parfois. 10 titres, 10 courts textes pour résumer le bail. Curation de qualité garantie. https://t.co/ZK1gzTgXpL",2020-12-07 20:55:23,goutemesdisques,Twitter for iPhone,1336051703511199749,https://twitter.com/statuses/1336051703511199749
@PorcherSeo y’a des news qui donnent le smile,2020-12-07 20:55:15,EsseSaint,Twitter for iPhone,1336051670980161537,https://twitter.com/statuses/1336051670980161537
Chief Justice Gita Mittal Inaugurates Jammu & Kashmir International Arbitration Centre At Jammu https://t.co/XiTIiojg4Q #arbitration,2020-12-07 20:55:11,LegInSky,Paper.li,1336051653817094145,https://twitter.com/statuses/1336051653817094145
@SaintGz qd tu vas te réveiller avec un 3e pouce tu mdonneras des news!,2020-12-07 20:55:01,_blackboomin,Twitter for iPhone,1336051612180221954,https://twitter.com/statuses/1336051612180221954
"""Je l'ai tirée de la dépression grave qui la menaçait""

https://t.co/A30djpbTej",2020-12-07 20:54:55,YahooPopFR,TweetDeck,1336051585277972486,https://twitter.com/statuses/1336051585277972486
"Suite à la ""révolution de la crédibilité"", la littérature moderne en économie est très ingénieuse pour identifier les effets causaux. Ceci est un bel exemple.

(Avec la contribution de mon professeur sur les effets causaux : @SylvainCF ) 

https://t.co/YSVVNc17H7",2020-12-07 20:54:42,Treich13,Twitter Web App,1336051531100119049,https://twitter.com/statuses/1336051531100119049
"Algérie-UE : « Il y a une volonté réciproque de dialogue », assure Boukadoum https://t.co/jIACFko9mz https://t.co/ZUKkS2nCpb",2020-12-07 20:54:33,fibladifr,dlvr.it,1336051494626332672,https://twitter.com/statuses/1336051494626332672
"VIDEO Jean-Louis Aubert : de retour après un grave problème de santé, il se confie sur son opération https://t.co/yorU2bTG2L",2020-12-07 20:54:29,Line2319Line,Twitter Web App,1336051476918132738,https://twitter.com/statuses/1336051476918132738
"Le ""Ratoidvania"" Cursed of the Sea Rats s'est trouvé un éditeur et une nouvelle bande-annonce... Très joli, il ne reste plus qu'à connaître sa date de sortie !
#Xbox https://t.co/gq5XeHvnbE",2020-12-07 20:54:05,XboxSquadFr,XboxSquad Tweets,1336051376816844802,https://twitter.com/statuses/1336051376816844802
"MI election fraud compilation:

https://t.co/sBIVdUzx4q",2020-12-07 20:53:22,LyleWanda,Twitter Web App,1336051197061394432,https://twitter.com/statuses/1336051197061394432
"Tu prends pas de news t’es mauvaise, t’es occupé tu veux pas dire bonjour t’es mauvaise..",2020-12-07 20:53:19,The_Maasq,Twitter for iPhone,1336051184709328903,https://twitter.com/statuses/1336051184709328903
"L'Agence de l'ONU pour la santé sexuelle et reproductive lance son +gd appel humanitaire. En 2021, elle vise à apporter une aide à 54 millions de femmes, filles et de jeunes dans 68 pays, surtout des soins et des services de santé sexuelle et reproductive
https://t.co/HCMtLk9cAt",2020-12-07 20:53:18,ActusPays,Twitter Web App,1336051179328073728,https://twitter.com/statuses/1336051179328073728
"le 4e pote qui n’est pas venu et qui n’a pas essayé de prendre des news de ces potes,t’as Vengas qui s’est évanoui pendant 10min selon lui sachant que quand on est inconscient on peut pas avoir la notion du temps, t’as les meufs qui donnent que leur adresse mais pas de num... mdr",2020-12-07 20:53:12,kiki__000000,Twitter for iPhone,1336051156133568519,https://twitter.com/statuses/1336051156133568519
Vous reprendrez bien un peu de mélancolie ? https://t.co/EWZ1WP7yeB,2020-12-07 20:53:04,goutemesdisques,Twitter for iPhone,1336051121941516290,https://twitter.com/statuses/1336051121941516290
https://t.co/bfDh4hkqBY : 69c9f630-3352-46d9-832f-80d1c54bffad,2020-12-07 20:53:01,test5f1798,TestsForSearch,1336051110260432897,https://twitter.com/statuses/1336051110260432897
https://t.co/yv4h9sR6iN : 34b6f8d8-ee49-4c76-8e75-cf13bb364671,2020-12-07 20:53:01,test5f1798,TestsForSearch,1336051108423331841,https://twitter.com/statuses/1336051108423331841
https://t.co/UNL9V7lovK : c1cce407-1121-49cf-b0df-e450fbdd0d37,2020-12-07 20:53:00,test5f1798,TestsForSearch,1336051103956414464,https://twitter.com/statuses/1336051103956414464
News: Vacheron Constantin to Auction a Les Cabinotiers Unique Piece in Collaboration with the Louvre Museum  https://t.co/BkSpfXjlTq,2020-12-07 20:52:48,WatchCollecting,Squarespace,1336051054690131968,https://twitter.com/statuses/1336051054690131968
Raiiiie que des bonnes news ajd,2020-12-07 20:52:43,alicecilam,Twitter for iPhone,1336051033483726849,https://twitter.com/statuses/1336051033483726849
"La fermeture des petits commerces est injuste selon un juge ontarien! C'est tellement clair...

https://t.co/sQ7lxjGTzf",2020-12-07 20:52:28,FredPage777,Twitter Web App,1336050969113718784,https://twitter.com/statuses/1336050969113718784
Loudéac : la famille du soldat Martin va pouvoir récupérer son quart militaire - https://t.co/sOYDUVVbKP https://t.co/GyUnUm7fkk,2020-12-07 20:52:22,news_militaire,IFTTT,1336050946447724546,https://twitter.com/statuses/1336050946447724546
"Not a real news, mais toujours intéressant 

(@thibaudmulier ?) https://t.co/BdC3hLl1EV",2020-12-07 20:52:13,djokeller_LP,Twitter Web App,1336050905477763072,https://twitter.com/statuses/1336050905477763072
"@VictorNickel5 Si c’est possible. Et? Parce qu’il est zeteticien il ne peut pas dire un truc sensé? Debunker des fake news? Je connais des gens qui travaillent pour BigPharma et qui se soignent à l’homéopathie, dingue non?",2020-12-07 20:52:05,aimeezun,Twitter for iPhone,1336050875165499399,https://twitter.com/statuses/1336050875165499399
"Précaution importante: évitez de trébucher lorsque vous vapotez... en fait, évitez même si vous n'êtes pas en train de vapoter 
Look Out! Short-sighted Docs About https://t.co/Yhmrr2HIl0",2020-12-07 20:52:01,VapolitiqueCH,Twitter Web App,1336050854953160709,https://twitter.com/statuses/1336050854953160709
NCBE Dismisses 114-Page Academic Report As ‘Fake News’ https://t.co/BMSRmuRadA,2020-12-07 20:51:14,atlblog,SocialFlow,1336050657728606208,https://twitter.com/statuses/1336050657728606208
Lafayette Police arrest rape suspect https://t.co/n5BvkfiZAe,2020-12-07 20:51:09,WLFI,SocialNewsDesk,1336050639747608578,https://twitter.com/statuses/1336050639747608578
https://t.co/yv4h9t8Hal : 9d2effd2-5d2d-41e7-846f-7b0fc14c90e0,2020-12-07 20:50:51,test5f1798,TestsForSearch,1336050563528605697,https://twitter.com/statuses/1336050563528605697
3 astuces pour améliorer votre référencement https://t.co/137dixHVqg,2020-12-07 20:50:51,RolandSchegg,Scoop.it,1336050562090065936,https://twitter.com/statuses/1336050562090065936
"Elle ne chante pas que de la merde, elle est aussi vulgaire, bête, arrogante, et moche  ...bref  une ""artiste"" (LOL) accomplie 

Aya Nakamura : sa vengeance aux NRJ Musics Awards qui ne passe pas ! https://t.co/V1c0mBHysD via @insidepublic",2020-12-07 20:50:18,Benjamin_21000,Twitter for Android,1336050425259298816,https://twitter.com/statuses/1336050425259298816
Comment les sanctions américaines précipitent la Syrie vers la famine https://t.co/3OBHLmwPhA,2020-12-07 20:50:17,aufildeloo,Twitter for iPhone,1336050420645507072,https://twitter.com/statuses/1336050420645507072
@jeune_afrique Fake news!!! L’audience a tournée sur la COVID-19. Des nouveaux mesures a prendre pour stopper la deuxième vague.,2020-12-07 20:50:11,FistonDjekondo,Twitter for iPhone,1336050397237096448,https://twitter.com/statuses/1336050397237096448
Liberté de choisir? https://t.co/GyzpQWhqU4,2020-12-07 20:50:05,LouisLapointe9,Twitter for Android,1336050371635056647,https://twitter.com/statuses/1336050371635056647
TikTok : bientôt des vidéos de 3 minutes pour concurrencer Instagram et YouTube ? https://t.co/US6UnQ3E1i,2020-12-07 20:49:53,RolandSchegg,Scoop.it,1336050319332151299,https://twitter.com/statuses/1336050319332151299
News - BR - Qualifications Europe pour la Coupe du Monde: la Pologne affronte l'Angleterre et la Hollande face à la Norvège - https://t.co/Dfbecj93AT https://t.co/49UeDJGAeF,2020-12-07 20:49:41,ebenesport,ebenesport autopublish,1336050271097589765,https://twitter.com/statuses/1336050271097589765
